ONIMI,OKOOD,MNIMI,MKOOD,Country,NUTS3,NUTS3Name,LAU1Code,LAU1Name,LAU2Code,LAU2Name,NatLAU2,NatLAU1,Pos,Total,Ratio,RatioCorr
Valgjõrve vald,0856,P§lva maakond,0065,EE,EE008,L§una-Eesti,EE0080065,P§lva maakond,EE00800650856,Valgjõrve vald,0856,0065,1,68,0.0147058824,0.0147058824
Vastse-Kuuste vald,0872,P§lva maakond,0065,EE,EE008,L§una-Eesti,EE0080065,P§lva maakond,EE00800650872,Vastse-Kuuste vald,0872,0065,9,45,0.2,0.2
Veriora vald,0879,P§lva maakond,0065,EE,EE008,L§una-Eesti,EE0080065,P§lva maakond,EE00800650879,Veriora vald,0879,0065,7,202,0.0346534653,0.0346534653
Võrska vald,0934,P§lva maakond,0065,EE,EE008,L§una-Eesti,EE0080065,P§lva maakond,EE00800650934,Võrska vald,0934,0065,2,90,0.0222222222,0.0222222222
Alatskivi vald,0126,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780126,Alatskivi vald,0126,0078,10,53,0.1886792453,0.1886792453
Elva linn,0170,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780170,Elva linn,0170,0078,0,0,0,-9999
Haaslava vald,0185,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780185,Haaslava vald,0185,0078,0,24,0,0
Kallaste linn,0279,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780279,Kallaste linn,0279,0078,0,0,0,-9999
Kambja vald,0282,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780282,Kambja vald,0282,0078,24,91,0.2637362637,0.2637362637
Konguta vald,0331,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780331,Konguta vald,0331,0078,3,4,0.75,0.75
Laeva vald,0383,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780383,Laeva vald,0383,0078,9,100,0.09,0.09
Luunja vald,0432,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780432,Luunja vald,0432,0078,0,22,0,0
Meeksi vald,0454,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780454,Meeksi vald,0454,0078,7,120,0.0583333333,0.0583333333
Mõksa vald,0501,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780501,Mõksa vald,0501,0078,2,30,0.0666666667,0.0666666667
N§o vald,0528,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780528,N§o vald,0528,0078,5,38,0.1315789474,0.1315789474
Peipsiõõre vald,0587,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780587,Peipsiõõre vald,0587,0078,1,5,0.2,0.2
Piirissaare vald,0595,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780595,Piirissaare vald,0595,0078,0,6,0,0
Puhja vald,0605,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780605,Puhja vald,0605,0078,2,14,0.1428571429,0.1428571429
Rannu vald,0666,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780666,Rannu vald,0666,0078,16,27,0.5925925926,0.5925925926
R§ngu vald,0694,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780694,R§ngu vald,0694,0078,3,8,0.375,0.375
Tartu vald,0794,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780794,Tartu vald,0794,0078,6,85,0.0705882353,0.0705882353
Tartu linn,0795,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780795,Tartu linn,0795,0078,0,0,0,-9999
Tõhtvere vald,0831,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780831,Tõhtvere vald,0831,0078,3,96,0.03125,0.03125
Vara vald,0861,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780861,Vara vald,0861,0078,9,148,0.0608108108,0.0608108108
V§nnu vald,0915,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780915,V§nnu vald,0915,0078,4,34,0.1176470588,0.1176470588
▄lenurme vald,0949,Tartu maakond,0078,EE,EE008,L§una-Eesti,EE0080078,Tartu maakond,EE00800780949,▄lenurme vald,0949,0078,2,8,0.25,0.25
Helme vald,0203,Valga maakond,0082,EE,EE008,L§una-Eesti,EE0080082,Valga maakond,EE00800820203,Helme vald,0203,0082,0,38,0,0
Hummuli vald,0208,Valga maakond,0082,EE,EE008,L§una-Eesti,EE0080082,Valga maakond,EE00800820208,Hummuli vald,0208,0082,0,0,0,-9999
Karula vald,0289,Valga maakond,0082,EE,EE008,L§una-Eesti,EE0080082,Valga maakond,EE00800820289,Karula vald,0289,0082,0,8,0,0
Palupera vald,0582,Valga maakond,0082,EE,EE008,L§una-Eesti,EE0080082,Valga maakond,EE00800820582,Palupera vald,0582,0082,2,20,0.1,0.1
Puka vald,0608,Valga maakond,0082,EE,EE008,L§una-Eesti,EE0080082,Valga maakond,EE00800820608,Puka vald,0608,0082,0,38,0,0
P§drala vald,0613,Valga maakond,0082,EE,EE008,L§una-Eesti,EE0080082,Valga maakond,EE00800820613,P§drala vald,0613,0082,0,4,0,0
Otepõõ vald,0636,Valga maakond,0082,EE,EE008,L§una-Eesti,EE0080082,Valga maakond,EE00800820636,Otepõõ vald,0636,0082,5,28,0.1785714286,0.1785714286
Sangaste vald,0724,Valga maakond,0082,EE,EE008,L§una-Eesti,EE0080082,Valga maakond,EE00800820724,Sangaste vald,0724,0082,0,10,0,0
Taheva vald,0779,Valga maakond,0082,EE,EE008,L§una-Eesti,EE0080082,Valga maakond,EE00800820779,Taheva vald,0779,0082,0,17,0,0
T§lliste vald,0820,Valga maakond,0082,EE,EE008,L§una-Eesti,EE0080082,Valga maakond,EE00800820820,T§lliste vald,0820,0082,1,28,0.0357142857,0.0357142857
T§rva linn,0823,Valga maakond,0082,EE,EE008,L§una-Eesti,EE0080082,Valga maakond,EE00800820823,T§rva linn,0823,0082,0,0,0,-9999
Valga linn,0854,Valga maakond,0082,EE,EE008,L§una-Eesti,EE0080082,Valga maakond,EE00800820854,Valga linn,0854,0082,0,0,0,-9999
ıru vald,0943,Valga maakond,0082,EE,EE008,L§una-Eesti,EE0080082,Valga maakond,EE00800820943,ıru vald,0943,0082,0,2,0,0
Abja vald,0105,Viljandi maakond,0084,EE,EE008,L§una-Eesti,EE0080084,Viljandi maakond,EE00800840105,Abja vald,0105,0084,2,122,0.0163934426,0.0163934426
Halliste vald,0192,Viljandi maakond,0084,EE,EE008,L§una-Eesti,EE0080084,Viljandi maakond,EE00800840192,Halliste vald,0192,0084,3,54,0.0555555556,0.0555555556
Kolga-Jaani vald,0328,Viljandi maakond,0084,EE,EE008,L§una-Eesti,EE0080084,Viljandi maakond,EE00800840328,Kolga-Jaani vald,0328,0084,3,34,0.0882352941,0.0882352941
K§o vald,0357,Viljandi maakond,0084,EE,EE008,L§una-Eesti,EE0080084,Viljandi maakond,EE00800840357,K§o vald,0357,0084,7,88,0.0795454545,0.0795454545
K§pu vald,0360,Viljandi maakond,0084,EE,EE008,L§una-Eesti,EE0080084,Viljandi maakond,EE00800840360,K§pu vald,0360,0084,0,38,0,0
M§isak³la linn,0490,Viljandi maakond,0084,EE,EE008,L§una-Eesti,EE0080084,Viljandi maakond,EE00800840490,M§isak³la linn,0490,0084,0,0,0,-9999
Karksi vald,0600,Viljandi maakond,0084,EE,EE008,L§una-Eesti,EE0080084,Viljandi maakond,EE00800840600,Karksi vald,0600,0084,0,50,0,0
Suure-Jaani vald,0758,Viljandi maakond,0084,EE,EE008,L§una-Eesti,EE0080084,Viljandi maakond,EE00800840758,Suure-Jaani vald,0758,0084,6,179,0.0335195531,0.0335195531
Tarvastu vald,0797,Viljandi maakond,0084,EE,EE008,L§una-Eesti,EE0080084,Viljandi maakond,EE00800840797,Tarvastu vald,0797,0084,1,9,0.1111111111,0.1111111111
Viljandi linn,0897,Viljandi maakond,0084,EE,EE008,L§una-Eesti,EE0080084,Viljandi maakond,EE00800840897,Viljandi linn,0897,0084,0,0,0,-9999
Viljandi vald,0898,Viljandi maakond,0084,EE,EE008,L§una-Eesti,EE0080084,Viljandi maakond,EE00800840898,Viljandi vald,0898,0084,2,108,0.0185185185,0.0185185185
V§hma linn,0912,Viljandi maakond,0084,EE,EE008,L§una-Eesti,EE0080084,Viljandi maakond,EE00800840912,V§hma linn,0912,0084,0,0,0,-9999
Antsla vald,0143,V§ru maakond,0086,EE,EE008,L§una-Eesti,EE0080086,V§ru maakond,EE00800860143,Antsla vald,0143,0086,3,69,0.0434782609,0.0434782609
Haanja vald,0181,V§ru maakond,0086,EE,EE008,L§una-Eesti,EE0080086,V§ru maakond,EE00800860181,Haanja vald,0181,0086,4,62,0.064516129,0.064516129
Lasva vald,0389,V§ru maakond,0086,EE,EE008,L§una-Eesti,EE0080086,V§ru maakond,EE00800860389,Lasva vald,0389,0086,0,56,0,0
Meremõe vald,0460,V§ru maakond,0086,EE,EE008,L§una-Eesti,EE0080086,V§ru maakond,EE00800860460,Meremõe vald,0460,0086,4,68,0.0588235294,0.0588235294
Misso vald,0468,V§ru maakond,0086,EE,EE008,L§una-Eesti,EE0080086,V§ru maakond,EE00800860468,Misso vald,0468,0086,4,134,0.0298507463,0.0298507463
M§niste vald,0493,V§ru maakond,0086,EE,EE008,L§una-Eesti,EE0080086,V§ru maakond,EE00800860493,M§niste vald,0493,0086,2,32,0.0625,0.0625
R§uge vald,0697,V§ru maakond,0086,EE,EE008,L§una-Eesti,EE0080086,V§ru maakond,EE00800860697,R§uge vald,0697,0086,2,53,0.0377358491,0.0377358491
S§merpalu vald,0767,V§ru maakond,0086,EE,EE008,L§una-Eesti,EE0080086,V§ru maakond,EE00800860767,S§merpalu vald,0767,0086,0,36,0,0
Urvaste vald,0843,V§ru maakond,0086,EE,EE008,L§una-Eesti,EE0080086,V§ru maakond,EE00800860843,Urvaste vald,0843,0086,15,47,0.3191489362,0.3191489362
Varstu vald,0865,V§ru maakond,0086,EE,EE008,L§una-Eesti,EE0080086,V§ru maakond,EE00800860865,Varstu vald,0865,0086,0,14,0,0
Vastseliina vald,0874,V§ru maakond,0086,EE,EE008,L§una-Eesti,EE0080086,V§ru maakond,EE00800860874,Vastseliina vald,0874,0086,3,112,0.0267857143,0.0267857143
V§ru vald,0918,V§ru maakond,0086,EE,EE008,L§una-Eesti,EE0080086,V§ru maakond,EE00800860918,V§ru vald,0918,0086,0,34,0,0
V§ru linn,0919,V§ru maakond,0086,EE,EE008,L§una-Eesti,EE0080086,V§ru maakond,EE00800860919,V§ru linn,0919,0086,0,0,0,-9999
